series_instance_uid,key,img_path,gt_path,wasserthal_path,knopczynski_path,wasserthal-dice,wasserthal-accuracy,wasserthal-sensitivity,wasserthal-specificity,knopczynski-dice,knopczynski-accuracy,knopczynski-sensitivity,knopczynski-specificity
1.2.840.113704.1.111.3840.1105186168.7,1.2.840.113704.1.111.3840.1105186168,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.3840.1105186168.7/img.nii.gz,/radraid/pteng/carve14/CARVE14-20230201T185159Z-002/CARVE14/CARVE14_fullAnno/1.2.840.113704.1.111.3840.1105186168_fullAnnotations.mhd,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.3840.1105186168.7/wasserthal.nii.gz,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.3840.1105186168.7/knopczynski.nii.gz,0.65375,0.98998,0.76127,0.99286,0.48625,0.98311,0.6435,0.98738
1.2.840.113704.1.111.3476.1102167727.7,1.2.840.113704.1.111.3476.1102167727,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.3476.1102167727.7/img.nii.gz,/radraid/pteng/carve14/CARVE14-20230201T185159Z-002/CARVE14/CARVE14_fullAnno/1.2.840.113704.1.111.3476.1102167727_fullAnnotations.mhd,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.3476.1102167727.7/wasserthal.nii.gz,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.3476.1102167727.7/knopczynski.nii.gz,0.69014,0.98827,0.72882,0.993,0.52169,0.97993,0.61063,0.98667
1.2.840.113704.1.111.3356.1097932728.7,1.2.840.113704.1.111.3356.1097932728,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.3356.1097932728.7/img.nii.gz,/radraid/pteng/carve14/CARVE14-20230201T185159Z-002/CARVE14/CARVE14_fullAnno/1.2.840.113704.1.111.3356.1097932728_fullAnnotations.mhd,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.3356.1097932728.7/wasserthal.nii.gz,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.3356.1097932728.7/knopczynski.nii.gz,0.67819,0.9892,0.77366,0.99242,0.5053,0.9808,0.66659,0.98549
1.2.840.113704.1.111.1396.1132404220.7,1.2.840.113704.1.111.1396.1132404220,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.1396.1132404220.7/img.nii.gz,/radraid/pteng/carve14/CARVE14-20230201T185159Z-002/CARVE14/CARVE14_fullAnno/1.2.840.113704.1.111.1396.1132404220_fullAnnotations.mhd,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.1396.1132404220.7/wasserthal.nii.gz,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.1396.1132404220.7/knopczynski.nii.gz,0.70564,0.99145,0.6435,0.99708,0.47351,0.97738,0.63863,0.98286
1.2.840.113704.1.111.4332.1132400990.7,1.2.840.113704.1.111.4332.1132400990,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.4332.1132400990.7/img.nii.gz,/radraid/pteng/carve14/CARVE14-20230201T185159Z-002/CARVE14/CARVE14_fullAnno/1.2.840.113704.1.111.4332.1132400990_fullAnnotations.mhd,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.4332.1132400990.7/wasserthal.nii.gz,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.4332.1132400990.7/knopczynski.nii.gz,0.68248,0.98824,0.7792,0.99169,0.50265,0.97813,0.68142,0.98302
1.2.840.113704.1.111.3300.1120308766.7,1.2.840.113704.1.111.3300.1120308766,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.3300.1120308766.7/img.nii.gz,/radraid/pteng/carve14/CARVE14-20230201T185159Z-002/CARVE14/CARVE14_fullAnno/1.2.840.113704.1.111.3300.1120308766_fullAnnotations.mhd,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.3300.1120308766.7/wasserthal.nii.gz,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.3300.1120308766.7/knopczynski.nii.gz,0.68698,0.9899,0.76155,0.99327,0.5168,0.98314,0.61947,0.98851
1.2.840.113704.1.111.4840.1113050391.7,1.2.840.113704.1.111.4840.1113050391,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.4840.1113050391.7/img.nii.gz,/radraid/pteng/carve14/CARVE14-20230201T185159Z-002/CARVE14/CARVE14_fullAnno/1.2.840.113704.1.111.4840.1113050391_fullAnnotations.mhd,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.4840.1113050391.7/wasserthal.nii.gz,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.4840.1113050391.7/knopczynski.nii.gz,0.71359,0.99198,0.76299,0.99502,0.51609,0.98438,0.63614,0.989
1.2.840.113704.1.111.2604.1126357612.7,1.2.840.113704.1.111.2604.1126357612,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.2604.1126357612.7/img.nii.gz,/radraid/pteng/carve14/CARVE14-20230201T185159Z-002/CARVE14/CARVE14_fullAnno/1.2.840.113704.1.111.2604.1126357612_fullAnnotations.mhd,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.2604.1126357612.7/wasserthal.nii.gz,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.2604.1126357612.7/knopczynski.nii.gz,0.69888,0.99012,0.75823,0.99368,0.53771,0.98352,0.63376,0.98889
1.2.840.113704.1.111.2064.1140250077.7,1.2.840.113704.1.111.2064.1140250077,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.2064.1140250077.7/img.nii.gz,/radraid/pteng/carve14/CARVE14-20230201T185159Z-002/CARVE14/CARVE14_fullAnno/1.2.840.113704.1.111.2064.1140250077_fullAnnotations.mhd,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.2064.1140250077.7/wasserthal.nii.gz,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.2064.1140250077.7/knopczynski.nii.gz,0.72784,0.98981,0.73906,0.99452,0.54532,0.98058,0.63183,0.98713
1.2.840.113704.1.111.4584.1131197859.7,1.2.840.113704.1.111.4584.1131197859,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.4584.1131197859.7/img.nii.gz,/radraid/pteng/carve14/CARVE14-20230201T185159Z-002/CARVE14/CARVE14_fullAnno/1.2.840.113704.1.111.4584.1131197859_fullAnnotations.mhd,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.4584.1131197859.7/wasserthal.nii.gz,/radraid/pteng/tmp/carve14/1.2.840.113704.1.111.4584.1131197859.7/knopczynski.nii.gz,0.64358,0.98904,0.7598,0.99206,0.51224,0.98408,0.64174,0.9886
